NAME	CPU %	MEM USAGE / LIMIT	MEM %	TIME

TBbwa
--------------------
mtbseq_container	924.61%	1.528GiB / 125.4GiB	1.22%	2025-06-12 22:39:08
mtbseq_container	1021.27%	1.548GiB / 125.4GiB	1.23%	2025-06-12 22:39:15
mtbseq_container	878.13%	1.555GiB / 125.4GiB	1.24%	2025-06-12 22:39:22
mtbseq_container	872.08%	1.573GiB / 125.4GiB	1.25%	2025-06-12 22:39:28
mtbseq_container	845.61%	1.589GiB / 125.4GiB	1.27%	2025-06-12 22:39:35
mtbseq_container	830.89%	1.605GiB / 125.4GiB	1.28%	2025-06-12 22:39:41
mtbseq_container	819.75%	1.623GiB / 125.4GiB	1.29%	2025-06-12 22:39:48
mtbseq_container	1075.84%	1.645GiB / 125.4GiB	1.31%	2025-06-12 22:39:54
mtbseq_container	1096.64%	1.659GiB / 125.4GiB	1.32%	2025-06-12 22:40:01
mtbseq_container	856.70%	1.659GiB / 125.4GiB	1.32%	2025-06-12 22:40:08
mtbseq_container	834.36%	1.675GiB / 125.4GiB	1.34%	2025-06-12 22:40:14
mtbseq_container	881.23%	1.689GiB / 125.4GiB	1.35%	2025-06-12 22:40:21
mtbseq_container	828.07%	1.704GiB / 125.4GiB	1.36%	2025-06-12 22:40:27
mtbseq_container	874.10%	1.723GiB / 125.4GiB	1.37%	2025-06-12 22:40:34
mtbseq_container	805.13%	1.742GiB / 125.4GiB	1.39%	2025-06-12 22:40:40
mtbseq_container	1648.60%	1.774GiB / 125.4GiB	1.41%	2025-06-12 22:40:47
mtbseq_container	1531.76%	1.781GiB / 125.4GiB	1.42%	2025-06-12 22:40:53
mtbseq_container	851.12%	1.789GiB / 125.4GiB	1.43%	2025-06-12 22:41:00
mtbseq_container	843.65%	1.801GiB / 125.4GiB	1.44%	2025-06-12 22:41:07
mtbseq_container	580.90%	290MiB / 125.4GiB	0.23%	2025-06-12 22:41:13
mtbseq_container	237.31%	1.131GiB / 125.4GiB	0.90%	2025-06-12 22:41:20
mtbseq_container	102.29%	1.292GiB / 125.4GiB	1.03%	2025-06-12 22:41:26
mtbseq_container	177.63%	1.358GiB / 125.4GiB	1.08%	2025-06-12 22:41:33
